"COU","Country","GFT_CAT","Category","CONTRIB","Contribution","UNIT","Measure","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DNK","Denmark","M_CRT_OTH","Other cost reducing transfers","GFT_TOT","Total contribution to GFT","USD","US dollar","2008","2008","USD","US Dollar","0","Units",,,207101.585,,
"DNK","Denmark","M_CRT_OTH","Other cost reducing transfers","GFT_TOT","Total contribution to GFT","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,660892.766,,
"DNK","Denmark","M_CRT_OTH","Other cost reducing transfers","GFT_TOT","Total contribution to GFT","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,3130516.229,,
"DNK","Denmark","M_CRT_OTH","Other cost reducing transfers","GFT_TOT","Total contribution to GFT","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,586269.603,,
"DNK","Denmark","M_CRT_OTH","Other cost reducing transfers","GFT_TOT","Total contribution to GFT","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,624145.751,,
"DNK","Denmark","M_CRT_OTH","Other cost reducing transfers","GFT_TOT","Total contribution to GFT","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,1624529.749,,
"FIN","Finland","MP_DP_OTH","Other direct payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2008","2008","USD","US Dollar","0","Units",,,5565551.284,,
"FIN","Finland","MP_DP_OTH","Other direct payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,4597018.871,,
"FIN","Finland","MP_DP_OTH","Other direct payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,3503015.304,,
"FIN","Finland","MP_DP_OTH","Other direct payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,3782237.209,,
"FIN","Finland","MP_DP_OTH","Other direct payments","GFT_TOT","Total contribution to GFT","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,2699918.676,,
"NOR","Norway","M_CRT_L","Subsidized loans for vessel construction, modernization and equipment","GFT_TOT","Total contribution to GFT","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,0,,
"CHL","Chile","GFT_TOTAL","GRAND TOTAL","GFT_TOT","Total contribution to GFT","USD","US dollar","2007","2007","USD","US Dollar","0","Units",,,39350715.366,,
"CHL","Chile","GFT_TOTAL","GRAND TOTAL","GFT_TOT","Total contribution to GFT","USD","US dollar","2008","2008","USD","US Dollar","0","Units",,,48246966.098,,
"CHL","Chile","GFT_TOTAL","GRAND TOTAL","GFT_TOT","Total contribution to GFT","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,58609589.606,,
"CHL","Chile","GFT_TOTAL","GRAND TOTAL","GFT_TOT","Total contribution to GFT","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,102286140.038,,
"CHL","Chile","GFT_TOTAL","GRAND TOTAL","GFT_TOT","Total contribution to GFT","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,112183651.376,,
"CHL","Chile","GFT_TOTAL","GRAND TOTAL","GFT_TOT","Total contribution to GFT","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,95303783.505,,
"FRA","France","MP_DP_G","Grants for marketing and processing facilities","GFT_TOT","Total contribution to GFT","USD","US dollar","2004","2004","USD","US Dollar","0","Units",,,5480441.968,,
"FRA","France","MP_DP_G","Grants for marketing and processing facilities","GFT_TOT","Total contribution to GFT","USD","US dollar","2005","2005","USD","US Dollar","0","Units",,,6130848.831,,
"FRA","France","MP_DP_G","Grants for marketing and processing facilities","GFT_TOT","Total contribution to GFT","USD","US dollar","2006","2006","USD","US Dollar","0","Units",,,5014452.035,,
"FRA","France","MP_DP_G","Grants for marketing and processing facilities","GFT_TOT","Total contribution to GFT","USD","US dollar","2008","2008","USD","US Dollar","0","Units",,,11556565.922,,
"FRA","France","MP_DP_G","Grants for marketing and processing facilities","GFT_TOT","Total contribution to GFT","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,12553001.853,,
"DEU","Germany","GFT_TOTAL","GRAND TOTAL","GFT_TOT","Total contribution to GFT","USD","US dollar","2004","2004","USD","US Dollar","0","Units",,,18139753.511,,
