"COUNTRY","Country","VARIABLE","Variable","UNIT","Unit","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","GSINF","Provision of infrastructure","USD","US dollar","2013","2013",,,"0","Units",,,362021.702,,
"BEL","Belgium","GSINF","Provision of infrastructure","USD","US dollar","2014","2014",,,"0","Units",,,2595536.357,,
"BEL","Belgium","GSINF_CAP","Capital expenditures","USD","US dollar","2009","2009",,,"0","Units",,,101114.333,,
"BEL","Belgium","GSINF_CAP","Capital expenditures","USD","US dollar","2010","2010",,,"0","Units",,,401962.99,,
"BEL","Belgium","GSINF_CAP","Capital expenditures","USD","US dollar","2011","2011",,,"0","Units",,,517736.783,,
"BEL","Belgium","GSINF_CAP","Capital expenditures","USD","US dollar","2012","2012",,,"0","Units",,,231950.616,,
"BEL","Belgium","GSINF_CAP","Capital expenditures","USD","US dollar","2013","2013",,,"0","Units",,,362021.702,,
"BEL","Belgium","GSINF_CAP","Capital expenditures","USD","US dollar","2014","2014",,,"0","Units",,,2595536.357,,
"BEL","Belgium","GSMKG","Marketing and promotion","USD","US dollar","2009","2009",,,"0","Units",,,1574047.421,,
"BEL","Belgium","GSMKG","Marketing and promotion","USD","US dollar","2010","2010",,,"0","Units",,,838362.273,,
"BEL","Belgium","GSMKG","Marketing and promotion","USD","US dollar","2013","2013",,,"0","Units",,,1121734.537,,
"BEL","Belgium","GSMKG","Marketing and promotion","USD","US dollar","2014","2014",,,"0","Units",,,1161477.569,,
"BEL","Belgium","GSCOM","Support to fishing communities","USD","US dollar","2012","2012",,,"0","Units",,,2605809.032,,
"BEL","Belgium","GSCOM","Support to fishing communities","USD","US dollar","2013","2013",,,"0","Units",,,1308088.906,,
"BEL","Belgium","GSCOM","Support to fishing communities","USD","US dollar","2014","2014",,,"0","Units",,,248749.262,,
"BEL","Belgium","GSRND","Research and development ","USD","US dollar","2009","2009",,,"0","Units",,,325784.749,,
"BEL","Belgium","GSRND","Research and development ","USD","US dollar","2010","2010",,,"0","Units",,,995253.693,,
"BEL","Belgium","GSRND","Research and development ","USD","US dollar","2011","2011",,,"0","Units",,,1209730.111,,
"BEL","Belgium","GSRND","Research and development ","USD","US dollar","2012","2012",,,"0","Units",,,524850.566,,
"BEL","Belgium","GSRND","Research and development ","USD","US dollar","2013","2013",,,"0","Units",,,322385.178,,
"BEL","Belgium","GSRND","Research and development ","USD","US dollar","2014","2014",,,"0","Units",,,422475.193,,
"BEL","Belgium","GSMNG","Management of resources","USD","US dollar","2010","2010",,,"0","Units",,,605198.229,,
"BEL","Belgium","GSMNG","Management of resources","USD","US dollar","2011","2011",,,"0","Units",,,3470151.736,,
"BEL","Belgium","GSMNG","Management of resources","USD","US dollar","2012","2012",,,"0","Units",,,4515392.632,,
"BEL","Belgium","GSMNG","Management of resources","USD","US dollar","2014","2014",,,"0","Units",,,748927.477,,
"BEL","Belgium","GSMNG_STK","Stock enhancement programs","USD","US dollar","2010","2010",,,"0","Units",,,605198.229,,
"BEL","Belgium","GSMNG_STK","Stock enhancement programs","USD","US dollar","2011","2011",,,"0","Units",,,3470151.736,,
"BEL","Belgium","GSMNG_STK","Stock enhancement programs","USD","US dollar","2012","2012",,,"0","Units",,,4515392.632,,
"BEL","Belgium","GSMNG_STK","Stock enhancement programs","USD","US dollar","2014","2014",,,"0","Units",,,748927.477,,
"CAN","Canada","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2008","2008",,,"0","Units",,,244735048,,
"CAN","Canada","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2009","2009",,,"0","Units",,,233305294.555,,
"CAN","Canada","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2010","2010",,,"0","Units",,,257798136.519,,
"CAN","Canada","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2011","2011",,,"0","Units",,,45191413.454,,
"CAN","Canada","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2012","2012",,,"0","Units",,,802091267.769,,
"CAN","Canada","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2013","2013",,,"0","Units",,,697599255.996,,
"CAN","Canada","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2008","2008",,,"0","Units",,,244735048.362,,
"CAN","Canada","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2009","2009",,,"0","Units",,,233305294.555,,
"CAN","Canada","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2010","2010",,,"0","Units",,,257798136.519,,
"CAN","Canada","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2011","2011",,,"0","Units",,,45191413.454,,
"CAN","Canada","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2012","2012",,,"0","Units",,,802091267.769,,
"CAN","Canada","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2013","2013",,,"0","Units",,,697599255.996,,
"CAN","Canada","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","USD","US dollar","2008","2008",,,"0","Units",,,236866627.668,,
"CAN","Canada","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","USD","US dollar","2009","2009",,,"0","Units",,,224412517.385,,
"CAN","Canada","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","USD","US dollar","2010","2010",,,"0","Units",,,245567886.661,,
"CAN","Canada","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","USD","US dollar","2012","2012",,,"0","Units",,,264685497.419,,
"CAN","Canada","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","USD","US dollar","2013","2013",,,"0","Units",,,255516340.111,,
"CAN","Canada","IFINC","Transfers based on fishers income ","USD","US dollar","2008","2008",,,"0","Units",,,236866627.668,,
"CAN","Canada","IFINC","Transfers based on fishers income ","USD","US dollar","2009","2009",,,"0","Units",,,224412517.385,,
"CAN","Canada","IFINC","Transfers based on fishers income ","USD","US dollar","2010","2010",,,"0","Units",,,245567886.661,,
"CAN","Canada","IFINC","Transfers based on fishers income ","USD","US dollar","2012","2012",,,"0","Units",,,264685497.419,,
"CAN","Canada","IFINC","Transfers based on fishers income ","USD","US dollar","2013","2013",,,"0","Units",,,255516340.111,,
"CAN","Canada","IFINC_INS","Income support","USD","US dollar","2008","2008",,,"0","Units",,,236866627.668,,
"CAN","Canada","IFINC_INS","Income support","USD","US dollar","2009","2009",,,"0","Units",,,224412517.385,,
"CAN","Canada","IFINC_INS","Income support","USD","US dollar","2010","2010",,,"0","Units",,,245567886.661,,
"CAN","Canada","IFINC_INS","Income support","USD","US dollar","2012","2012",,,"0","Units",,,264685497.419,,
"CAN","Canada","IFINC_INS","Income support","USD","US dollar","2013","2013",,,"0","Units",,,255516340.111,,
"CAN","Canada","GSMNG_ENF","Enforcement expenditures","USD","US dollar","2012","2012",,,"0","Units",,,66103168.431,,
"CAN","Canada","GSMNG_ENF","Enforcement expenditures","USD","US dollar","2013","2013",,,"0","Units",,,55375310.796,,
"CAN","Canada","GSMSC","Miscellaneous transfers to general services","USD","US dollar","2012","2012",,,"0","Units",,,12715364.84,,
"CAN","Canada","GSMSC","Miscellaneous transfers to general services","USD","US dollar","2013","2013",,,"0","Units",,,8690648.39,,
"CAN","Canada","FCRC","COST RECOVERY CHARGES","USD","US dollar","2012","2012",,,"0","Units",,,-34125979.122,,
"CAN","Canada","FCRC","COST RECOVERY CHARGES","USD","US dollar","2013","2013",,,"0","Units",,,-34073504.973,,
"CAN","Canada","FCRRE","Cost Recovery Charges, for resource access rights","USD","US dollar","2012","2012",,,"0","Units",,,-34125979.122,,
"CAN","Canada","FCRRE","Cost Recovery Charges, for resource access rights","USD","US dollar","2013","2013",,,"0","Units",,,-34073504.973,,
"CAN","Canada","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2008","2008",,,"0","Units",,,7868420.694,,
"CAN","Canada","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2009","2009",,,"0","Units",,,8892777.17,,
"CAN","Canada","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2010","2010",,,"0","Units",,,12230249.857,,
"CAN","Canada","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2011","2011",,,"0","Units",,,45191413.454,,
"CAN","Canada","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2012","2012",,,"0","Units",,,571531749.471,,
"CAN","Canada","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2013","2013",,,"0","Units",,,476156420.858,,
"CAN","Canada","GSINF","Provision of infrastructure","USD","US dollar","2012","2012",,,"0","Units",,,141434800.225,,
"CAN","Canada","GSINF","Provision of infrastructure","USD","US dollar","2013","2013",,,"0","Units",,,104197486.741,,
"CAN","Canada","GSINF_CAP","Capital expenditures","USD","US dollar","2012","2012",,,"0","Units",,,141434800.225,,
"CAN","Canada","GSINF_CAP","Capital expenditures","USD","US dollar","2013","2013",,,"0","Units",,,104197486.741,,
"CAN","Canada","GSMKG","Marketing and promotion","USD","US dollar","2012","2012",,,"0","Units",,,2636632.192,,
"CAN","Canada","GSMKG","Marketing and promotion","USD","US dollar","2013","2013",,,"0","Units",,,1374710.605,,
"CAN","Canada","GSCOM","Support to fishing communities","USD","US dollar","2012","2012",,,"0","Units",,,991704.956,,
"CAN","Canada","GSCOM","Support to fishing communities","USD","US dollar","2013","2013",,,"0","Units",,,2024465.164,,
"CAN","Canada","GSEDU","Education and training","USD","US dollar","2012","2012",,,"0","Units",,,18856447.849,,
"CAN","Canada","GSEDU","Education and training","USD","US dollar","2013","2013",,,"0","Units",,,17490089.083,,
"CAN","Canada","GSRND","Research and development ","USD","US dollar","2012","2012",,,"0","Units",,,178239373.904,,
"CAN","Canada","GSRND","Research and development ","USD","US dollar","2013","2013",,,"0","Units",,,178583804.062,,
"CAN","Canada","GSMNG","Management of resources","USD","US dollar","2008","2008",,,"0","Units",,,7868420.694,,
"CAN","Canada","GSMNG","Management of resources","USD","US dollar","2009","2009",,,"0","Units",,,8892777.17,,
"CAN","Canada","GSMNG","Management of resources","USD","US dollar","2010","2010",,,"0","Units",,,12230249.857,,
"CAN","Canada","GSMNG","Management of resources","USD","US dollar","2011","2011",,,"0","Units",,,45191413.454,,
"CAN","Canada","GSMNG","Management of resources","USD","US dollar","2012","2012",,,"0","Units",,,216657425.506,,
"CAN","Canada","GSMNG","Management of resources","USD","US dollar","2013","2013",,,"0","Units",,,163795216.813,,
"CAN","Canada","GSMNG_EXP","Management expenditures ","USD","US dollar","2008","2008",,,"0","Units",,,7868420.694,,
"CAN","Canada","GSMNG_EXP","Management expenditures ","USD","US dollar","2009","2009",,,"0","Units",,,8892777.17,,
"CAN","Canada","GSMNG_EXP","Management expenditures ","USD","US dollar","2010","2010",,,"0","Units",,,12230249.857,,
"CAN","Canada","GSMNG_EXP","Management expenditures ","USD","US dollar","2011","2011",,,"0","Units",,,45191413.454,,
"CAN","Canada","GSMNG_EXP","Management expenditures ","USD","US dollar","2012","2012",,,"0","Units",,,150554257.074,,
"CAN","Canada","GSMNG_EXP","Management expenditures ","USD","US dollar","2013","2013",,,"0","Units",,,108419906.017,,
"DNK","Denmark","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2008","2008",,,"0","Units",,,123515355.086,,
"DNK","Denmark","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2009","2009",,,"0","Units",,,96296802.857,,
"DNK","Denmark","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2010","2010",,,"0","Units",,,93995692.481,,
"DNK","Denmark","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2011","2011",,,"0","Units",,,107962559.364,,
"DNK","Denmark","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2012","2012",,,"0","Units",,,93948359.243,,
"DNK","Denmark","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2013","2013",,,"0","Units",,,100590336.54,,
