,Region Name,Country,Class,Category,Type,Constant 2018 USD,Data Type
887,Africa,Kenya,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
888,Africa,Kenya,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
889,Africa,Kenya,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
950,Africa,Liberia,A1,Beneficial,Fisheries mangt.,66376,Reported
951,Africa,Liberia,A2,Beneficial,Fishery R&D,0,not found evidence of subsidy
952,Africa,Liberia,A3,Beneficial,MPAs,207925.2143,Modeled
953,Africa,Liberia,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
954,Africa,Liberia,B2,Capacity-enhancing,Fisheries dev. projects,1853228.03,Modeled
955,Africa,Liberia,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
956,Africa,Liberia,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
957,Africa,Liberia,B5,Capacity-enhancing,Tax exemption,308648.5188,Modeled
958,Africa,Liberia,B6,Capacity-enhancing,Fishing access,1019.04,Modeled
1907,Africa,Liberia,B7,Capacity-enhancing,Fuel subsidies,1267806.749,Modeled
959,Africa,Liberia,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
960,Africa,Liberia,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
961,Africa,Liberia,C3,Ambiguous,Rural fisher communities,315461.0911,Modeled
962,Africa,Libya,A1,Beneficial,Fisheries mangt.,13086935.19,Modeled
963,Africa,Libya,A2,Beneficial,Fishery R&D,3066307.696,Modeled
964,Africa,Libya,A3,Beneficial,MPAs,0,not found evidence of subsidy
965,Africa,Libya,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
966,Africa,Libya,B2,Capacity-enhancing,Fisheries dev. projects,0,not found evidence of subsidy
967,Africa,Libya,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
968,Africa,Libya,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
969,Africa,Libya,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
970,Africa,Libya,B6,Capacity-enhancing,Fishing access,0,not found evidence of subsidy
1908,Africa,Libya,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
971,Africa,Libya,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
972,Africa,Libya,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
973,Africa,Libya,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
986,Africa,Madagascar,A1,Beneficial,Fisheries mangt.,50033939.11,Reported
987,Africa,Madagascar,A2,Beneficial,Fishery R&D,1128771.624,Modeled
988,Africa,Madagascar,A3,Beneficial,MPAs,10027541.19,Modeled
989,Africa,Madagascar,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
990,Africa,Madagascar,B2,Capacity-enhancing,Fisheries dev. projects,32804971.73,Reported
991,Africa,Madagascar,B3,Capacity-enhancing,Fishing port develop.,22974.10736,Reported
992,Africa,Madagascar,B4,Capacity-enhancing,Markt. & storage infrast.,39887.50845,Reported
993,Africa,Madagascar,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
994,Africa,Madagascar,B6,Capacity-enhancing,Fishing access,35073.78,Modeled
1910,Africa,Madagascar,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
995,Africa,Madagascar,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
996,Africa,Madagascar,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
997,Africa,Madagascar,C3,Ambiguous,Rural fisher communities,580728.915,Modeled
1034,Africa,Mauritania,A1,Beneficial,Fisheries mangt.,3090217.037,Reported
1035,Africa,Mauritania,A2,Beneficial,Fishery R&D,511872.2042,Reported
1036,Africa,Mauritania,A3,Beneficial,MPAs,818875.2952,Modeled
1037,Africa,Mauritania,B1,Capacity-enhancing,Boat constsruct. & renov.,1664961.274,Modeled
1038,Africa,Mauritania,B2,Capacity-enhancing,Fisheries dev. projects,1136227.586,Reported
1039,Africa,Mauritania,B3,Capacity-enhancing,Fishing port develop.,14709876.34,Reported
1040,Africa,Mauritania,B4,Capacity-enhancing,Markt. & storage infrast.,6367759.65,Reported
1041,Africa,Mauritania,B5,Capacity-enhancing,Tax exemption,3271498.918,Modeled
1042,Africa,Mauritania,B6,Capacity-enhancing,Fishing access,122240.29,Modeled
1914,Africa,Mauritania,B7,Capacity-enhancing,Fuel subsidies,1621495.023,Modeled
1043,Africa,Mauritania,C1,Ambiguous,Fisher assistance,1135178.245,Reported
1044,Africa,Mauritania,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
1045,Africa,Mauritania,C3,Ambiguous,Rural fisher communities,3246144.947,Modeled
1046,Africa,Mauritius,A1,Beneficial,Fisheries mangt.,8238822.889,Reported
1047,Africa,Mauritius,A2,Beneficial,Fishery R&D,188664.255,Reported
1048,Africa,Mauritius,A3,Beneficial,MPAs,809473.8456,Modeled
1049,Africa,Mauritius,B1,Capacity-enhancing,Boat constsruct. & renov.,464404.32,Reported
1050,Africa,Mauritius,B1,Capacity-enhancing,Boat constsruct. & renov.,462199.3412,Modeled
1051,Africa,Mauritius,B2,Capacity-enhancing,Fisheries dev. projects,470209.374,Reported
1052,Africa,Mauritius,B3,Capacity-enhancing,Fishing port develop.,58050.54,Reported
1053,Africa,Mauritius,B4,Capacity-enhancing,Markt. & storage infrast.,145126.35,Reported
1054,Africa,Mauritius,B5,Capacity-enhancing,Tax exemption,1609345.477,Modeled
1055,Africa,Mauritius,B6,Capacity-enhancing,Fishing access,6051.47,Modeled
1915,Africa,Mauritius,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
1056,Africa,Mauritius,C1,Ambiguous,Fisher assistance,303314.0715,Reported
1057,Africa,Mauritius,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
1058,Africa,Mauritius,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
1083,Africa,Morocco,A1,Beneficial,Fisheries mangt.,55146226.48,Reported
