Country,Type,Subtype,Class,Amount,Currency,Year,Source
Belgium,Tax,Non-Fuel tax exemptions,B5,8089000,EUR,2017,Belgium Depenses Fiscales 2017
Belgium,Tax,Non-Fuel tax exemptions,B5,8220000,EUR,2017,Belgium Depenses Fiscales 2017
Belgium,Fishery Development,Institutional support and services,B2,166528,EUR,2018,European Maritime and Fisheries Fund - Operational Programme for Portugal (2014)
Belgium,Fishery Management,Stock assessment,A1,893394,EUR,2018,European Maritime and Fisheries Fund - Operational Programme for Belgium (2014)
Belgium,Fishery Management,Stock enhancement,A1,572845,EUR,2018,European Maritime and Fisheries Fund - Operational Programme for Belgium (2014)
Belgium,Fishery Management,Monitoring control & surveillance,A1,506606,EUR,2018,European Maritime and Fisheries Fund - Operational Programme for Belgium (2014)
Belgium,Fishery Management,Monitoring control & surveillance,A1,50000,EUR,2018,European Maritime and Fisheries Fund - Operational Programme for Belgium (2014)
Belgium,Boat,"Boat / fleet construct., renewal, & modernization",B1,54310,EUR,2018,European Maritime and Fisheries Fund - Operational Programme for Belgium (2014)
Belgium,Port,Port & harbour construction & renovation,B3,572845,EUR,2018,European Maritime and Fisheries Fund - Operational Programme for Belgium (2014)
Belgium,Market Infrastructure,"State investments in firms, cooperatives & parastatals",B4,146181.5,EUR,2018,European Maritime and Fisheries Fund - Operational Programme for Belgium (2014)
Belgium,Market Infrastructure,Processing & storage infrastructure,B4,7637,EUR,2018,European Maritime and Fisheries Fund - Operational Programme for Belgium (2014)
Belgium,Market Infrastructure,Processing & storage infrastructure,B4,146181.5,EUR,2018,European Maritime and Fisheries Fund - Operational Programme for Belgium (2014)
Belgium,Fishery Management,Management-Other,A1,850759,EUR,2015,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Belgium,R&D,R&D,A2,415443,EUR,2015,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Belgium,Fishery Development,Development grants for fishery projects,B2,606110,EUR,2015,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Belgium,MPAs,MPAs,A3,1366479.29,USD,2005,"Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol."
Belgium,Access,Access fees for third country agreements,B6,779750.29,USD,2018,"Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne."
Belize,Fishery Management,Fishery management programs & services,A1,665011.25,BZD,2018,"Approved Estimates of Revenue and Expenditure for Fiscal Year 2017/2018, Belize"
Belize,Fishery Management,Monitoring control & surveillance,A1,665011.25,BZD,2018,"Approved Estimates of Revenue and Expenditure for Fiscal Year 2017/2018, Belize"
Belize,Fishery Management,Monitoring control & surveillance,A1,2296035.2,BZD,2018,"Approved Estimates of Revenue and Expenditure for Fiscal Year 2017/2018, Belize"
Belize,Fishery Management,Monitoring control & surveillance,A1,7000,BZD,2018,"Approved Estimates of Revenue and Expenditure for Fiscal Year 2017/2018, Belize"
Belize,Market Infrastructure,Marketing support,B4,665011.25,BZD,2018,"Approved Estimates of Revenue and Expenditure for Fiscal Year 2017/2018, Belize"
Belize,MPAs,MPAs,A3,7560539.82,USD,2005,"Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol."
Belize,Fishery Management,Stock assessment,A1,2400700,BZD,2018,Belize Public Sector Investment Programme 2017-18; Pipeline Projects to June 2017
Belize,Fishery Management,Stock enhancement,A1,2400700,BZD,2018,Belize Public Sector Investment Programme 2017-18; Pipeline Projects to June 2017
Belize,Access,Access fees for third country agreements,B6,15723894.71,USD,2018,"Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne."
Benin,Fishery Management,Fishery management programs & services,A1,632341000,CFA,2018,Benin Budget de l'Etat Gestion 2018
Benin,Fishery Development,Institutional support and services,B2,650000000,CFA,2018,Benin Budget de l'Etat Gestion 2018
Benin,Fishery Development,Development grants for fishery projects,B2,5057,USD,2017,"OECDStat, Overseas Development Aid, Fishery Development"
Benin,Fishery Management,Fishery management programs & services,A1,7951747,USD,2017,"OECDStat, Overseas Development Aid, Fisheries Policy & Management"
Brazil,Fishery Management,Fishery management programs & services,A1,150000,BRL,2015,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Brazil,Fishery Management,Fishery management programs & services,A1,117732039,BRL,2015,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Brazil,Fishery Management,Monitoring control & surveillance,A1,10325239,BRL,2015,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Brazil,Fishery Development,Institutional support and services,B2,17172400,BRL,2015,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Brazil,Port,Port & harbour access / other,B3,1000000,BRL,2015,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
Brazil,Market Infrastructure,"State investments in firms, cooperatives & parastatals",B4,108707247,BRL,2015,"OECD, Fisheries Support Estimate (stats.oecd.org/)"
